ALLOCATED MEMORY UNITS         FREE MEMORY UNITS              JOBS IN JOB QUEUE              JOBS IN BLOCKED QUEUE          JOBS IN READY QUEUE            JOBS DELIVERED                 
502                            10                             1                              2                              11                             210                            
507                            5                              1                              0                              12                             212                            
507                            5                              1                              0                              12                             212                            
502                            10                             1                              1                              10                             213                            
414                            98                             1                              1                              8                              215                            
504                            8                              1                              0                              10                             216                            
490                            22                             1                              0                              9                              217                            
490                            22                             1                              0                              9                              217                            
490                            22                             1                              1                              8                              217                            
465                            47                             0                              0                              11                             219                            
465                            47                             0                              0                              11                             219                            
465                            47                             0                              2                              9                              219                            
465                            47                             0                              1                              10                             219                            
468                            44                             0                              1                              10                             220                            
448                            64                             0                              2                              10                             221                            
448                            64                             0                              2                              10                             221                            
457                            55                             0                              1                              11                             222                            
422                            90                             0                              0                              10                             224                            
422                            90                             0                              0                              10                             224                            
403                            109                            0                              1                              7                              226                            
270                            242                            0                              2                              4                              228                            
260                            252                            0                              0                              5                              229                            
260                            252                            0                              1                              4                              229                            
155                            357                            0                              0                              4                              230                            
43                             469                            0                              0                              3                              231                            
43                             469                            0                              0                              3                              231                            
5                              507                            0                              0                              0                              234                            
0                              512                            0                              0                              0                              235                            
